Time;Stress;First Derivative;Second Derivative
0;2,48348;;
2;2,39147;-0,046005000000000074;
4;2,34412;-0,02367499999999989;0,011165000000000092
6;2,31129;-0,01641500000000007;0,003629999999999911
8;2,28503;-0,013130000000000086;0,0016424999999999912
10;2,26332;-0,010854999999999837;0,0011375000000001245
12;2,244;-0,009660000000000002;0,0005974999999999175
14;2,22688;-0,008560000000000123;0,0005499999999999394
16;2,20914;-0,008869999999999933;-0,00015499999999990521
18;2,19204;-0,008550000000000058;0,00015999999999993797
20;2,17357;-0,009235000000000104;-0,00034250000000002334
22;2,14714;-0,013214999999999977;-0,0019899999999999363
24;2,08285;-0,03214499999999987;-0,009464999999999946
26;2,06135;-0,010750000000000037;0,010697499999999915
28;2,04301;-0,0091699999999999;0,0007900000000000684
30;2,02983;-0,006590000000000096;0,0012899999999999023
32;2,01865;-0,005589999999999984;0,000500000000000056
34;2,00875;-0,00495000000000001;0,00031999999999998696
36;2,00004;-0,004355000000000109;0,0002974999999999506
38;1,99165;-0,004194999999999949;8,000000000008001E-05
40;1,98413;-0,0037599999999999856;0,0002174999999999816
42;1,97584;-0,004144999999999954;-0,00019249999999998435
44;1,96881;-0,003515000000000046;0,0003149999999999542
46;1,96307;-0,002869999999999928;0,00032250000000005885
48;1,95665;-0,003210000000000046;-0,000170000000000059
50;1,95086;-0,002894999999999981;0,00015750000000003261
52;1,94503;-0,002915000000000001;-1,0000000000010001E-05
54;1,93927;-0,0028799999999999937;1,7500000000003624E-05
56;1,93439;-0,0024399999999999977;0,00021999999999999797
58;1,92999;-0,0021999999999999797;0,00012000000000000899
60;1,92566;-0,0021650000000000835;1,7499999999948113E-05
62;1,92031;-0,002674999999999983;-0,0002549999999999497
64;1,91595;-0,0021799999999999597;0,0002475000000000116
66;1,91176;-0,002095000000000069;4,249999999994536E-05
68;1,90856;-0,0015999999999999348;0,0002475000000000671
70;1,90344;-0,0025600000000000067;-0,00048000000000003595
72;1,89976;-0,0018400000000000638;0,00035999999999997145
74;1,89653;-0,001614999999999922;0,00011250000000007088
76;1,89269;-0,0019200000000000328;-0,00015250000000005537
78;1,88849;-0,0020999999999999908;-8,999999999997899E-05
80;1,88558;-0,001454999999999984;0,00032250000000000334
82;1,8826;-0,0014899999999999913;-1,7500000000003624E-05
84;1,8797;-0,0014500000000000624;1,999999999996449E-05
86;1,87541;-0,0021449999999999525;-0,0003474999999999451
88;1,87302;-0,0011950000000000571;0,0004749999999999477
90;1,86984;-0,0015899999999999803;-0,0001974999999999616
92;1,86735;-0,0012449999999999406;0,00017250000000001986
94;1,86444;-0,001454999999999984;-0,00010500000000002174
96;1,86183;-0,0013050000000000006;7,499999999999174E-05
98;1,85889;-0,0014700000000000824;-8,250000000004087E-05
99,999;1,85669;-0,0011005502751375612;0,0001848172710667944
